Epoch [196/250], Train Loss: 34.8041, Val Loss: 414.8047, Test Loss: 420.3374
Epoch [197/250], Train Loss: 38.5315, Val Loss: 121.6289, Test Loss: 123.9382
Epoch [198/250], Train Loss: 34.8957, Val Loss: 188.7582, Test Loss: 195.2423
Epoch [199/250], Train Loss: 36.7741, Val Loss: 78.9814, Test Loss: 83.1014
Epoch [200/250], Train Loss: 34.2665, Val Loss: 32.4231, Test Loss: 34.7950
Epoch [201/250], Train Loss: 36.4688, Val Loss: 5204.5807, Test Loss: 5301.5028
Epoch [202/250], Train Loss: 35.8935, Val Loss: 107.1622, Test Loss: 104.0776
Epoch [203/250], Train Loss: 31.8136, Val Loss: 39.4373, Test Loss: 45.2008
Epoch [204/250], Train Loss: 33.2357, Val Loss: 58.1897, Test Loss: 60.1866
Epoch [205/250], Train Loss: 31.0470, Val Loss: 67.6001, Test Loss: 69.3723
Epoch [206/250], Train Loss: 35.8258, Val Loss: 158.2195, Test Loss: 156.2497
Epoch [207/250], Train Loss: 35.8751, Val Loss: 46.8887, Test Loss: 50.5701
Epoch [208/250], Train Loss: 36.5505, Val Loss: 32.5675, Test Loss: 33.5018
Epoch [209/250], Train Loss: 35.9411, Val Loss: 194.5121, Test Loss: 193.6913
Epoch [210/250], Train Loss: 32.8764, Val Loss: 34.3553, Test Loss: 37.2467
Epoch [211/250], Train Loss: 35.5575, Val Loss: 222.3854, Test Loss: 218.8649
Epoch [212/250], Train Loss: 27.2073, Val Loss: 70.3409, Test Loss: 76.7253
Epoch [213/250], Train Loss: 43.3442, Val Loss: 25.2154, Test Loss: 29.6745
Epoch [214/250], Train Loss: 30.6282, Val Loss: 64.8277, Test Loss: 67.3872
Epoch [215/250], Train Loss: 31.0866, Val Loss: 72.4780, Test Loss: 74.3770
Epoch [216/250], Train Loss: 33.9968, Val Loss: 197.6612, Test Loss: 198.8954
Epoch [217/250], Train Loss: 31.0419, Val Loss: 38.2057, Test Loss: 40.0186
Epoch [218/250], Train Loss: 29.0176, Val Loss: 65.6553, Test Loss: 67.6448
Epoch [219/250], Train Loss: 34.3190, Val Loss: 377.3240, Test Loss: 379.0244
Epoch [220/250], Train Loss: 301.7224, Val Loss: 57.2524, Test Loss: 62.5653
Epoch [221/250], Train Loss: 116.7360, Val Loss: 33.1870, Test Loss: 39.4400
